index	name	abbreviation	color	volume_mm3
307	left Mediomedial anterior visual area, layer 4	VISmma4-L	1AA398	0.0
308	left Mediomedial anterior visual area,layer 5	VISmma5-L	1BA496	0.0
309	left Mediomedial anterior visual area, layer 6a	VISmma6a-L	1CA596	0.0
310	left Mediomedial anterior visual area, layer 6b	VISmma6b-L	1CA497	0.0
311	left Mediomedial posterior visual area	VISmmp-L	1DA698	0.0
312	left Mediomedial posterior visual area, layer 1	VISmmp1-L	1AA595	0.0
313	left Mediomedial posterior visual area, layer 2/3	VISmmp2/3-L	1AA397	0.0
314	left Mediomedial posterior visual area, layer 4	VISmmp4-L	1BA695	0.0
315	left Mediomedial posterior visual area,layer 5	VISmmp5-L	1BA398	0.0
316	left Mediomedial posterior visual area, layer 6a	VISmmp6a-L	1DA697	0.0
317	left Mediomedial posterior visual area, layer 6b	VISmmp6b-L	1DA598	0.0
318	left Medial visual area	VISm-L	1BA595	0.0
319	left Medial visual area, layer 1	VISm1-L	1BA397	0.0
320	left Medial visual area, layer 2/3	VISm2/3-L	1DA597	0.0
321	left Medial visual area, layer 4	VISm4-L	1CA496	0.0
322	left Medial visual area,layer 5	VISm5-L	1AA495	0.0
323	left Medial visual area, layer 6a	VISm6a-L	1AA396	0.0
324	left Medial visual area, layer 6b	VISm6b-L	1CA695	0.0
325	left Retrosplenial area, dorsal part	RSPd-L	1CA598	0.0
326	left Retrosplenial area, dorsal part, layer 1	RSPd1-L	1BA598	0.41537501972925384
327	left Retrosplenial area, dorsal part, layer 2/3	RSPd2/3-L	1BA697	0.48695314812903234
328	left Retrosplenial area, dorsal part, layer 4	RSPd4-L	1AA696	0.0
329	left Retrosplenial area, dorsal part, layer 5	RSPd5-L	1AA596	0.6033906536595168
330	left Retrosplenial area, dorsal part, layer 6a	RSPd6a-L	1AA697	0.37765626793770934
331	left Retrosplenial area, dorsal part, layer 6b	RSPd6b-L	1BA698	0.015984375759217073
332	left Retrosplenial area, ventral part	RSPv-L	1BA596	0.0
333	left Retrosplenial area, ventral part, layer 1	RSPv1-L	1BA597	0.4627187719779613
334	left Retrosplenial area, ventral part, layer 2	RSPv2-L	1CA698	0.0
335	left Retrosplenial area, ventral part, layer 2/3	RSPv2/3-L	1AA597	0.5099375242207316
336	left Retrosplenial area, ventral part, layer 5	RSPv5-L	1BA498	0.8398125398889533
337	left Retrosplenial area, ventral part, layer 6a	RSPv6a-L	1AA498	0.3292031406363094
